---- Created by LOD Exporter ----
SimAVTRSwitchDown                                                -0.00709 1.726040 -1.625890    15  318   2 
SimAVTRSwitchUp                                                  -0.00709 1.726040 -1.625890    15  310   1 
SimRALTDown                                                      -2.10385 0.756728 -1.181437    15  129   2 
SimRALTUp                                                        -2.10385 0.756728 -1.181437    15  129   1 
SimParkingBrakeDec                                               -1.62698 1.040432 -1.770871    15  319   2 
SimParkingBrakeInc                                               -1.62698 1.040432 -1.770871    15  319   1 
SimMFDOff                                                        -2.03811 0.268158 -0.479429    15  311   2 
SimMFDOn                                                         -2.03811 0.268158 -0.479429    15  311   1 
AFDecFlap                                                        -0.35872 1.614943 -1.588499    15  311   2 
AFIncFlap                                                        -0.35872 1.614943 -1.588499    15  311   1 
SimOxySupplyOn                                                   -1.22083 1.077729 -1.967428    15  129   1 
SimOxySupplyOff                                                  -1.22083 1.077729 -1.967428    15  129   2 
SimCBEOSB_20R                                                    -2.02395 0.152981 -0.501317    15  126   1 
SimCBEOSB_19R                                                    -2.01666 0.152990 -0.547853    15  126   1 
SimCBEOSB_18R                                                    -2.00936 0.153001 -0.591505    15  126   1 
SimCBEOSB_17R                                                    -2.00195 0.153011 -0.641402    15  126   1 
SimCBEOSB_16R                                                    -1.99440 0.153021 -0.687181    15  126   1 
SimCBEOSB_15R                                                    -1.97838 0.099947 -0.749675    15  126   1 
SimCBEOSB_14R                                                    -1.97838 0.052650 -0.749675    15  126   1 
SimCBEOSB_13R                                                    -1.97838 0.002222 -0.749675    15  126   1 
SimCBEOSB_12R                                                    -1.97838 -0.046251 -0.749675    15  126   1 
SimCBEOSB_11R                                                    -1.97838 -0.091482 -0.749675    15  126   1 
SimCBEOSB_10R                                                    -1.99441 -0.151417 -0.694185    15  126   1 
SimCBEOSB_9R                                                     -2.00197 -0.151427 -0.650686    15  126   1 
SimCBEOSB_8R                                                     -2.00938 -0.151441 -0.600827    15  126   1 
SimCBEOSB_7R                                                     -2.01668 -0.151454 -0.555103    15  126   1 
SimCBEOSB_6R                                                     -2.02397 -0.151459 -0.501518    15  126   1 
SimCBEOSB_5R                                                     -2.04007 -0.096270 -0.446462    15  126   1 
SimCBEOSB_4R                                                     -2.04007 -0.048888 -0.446884    15  126   1 
SimCBEOSB_3R                                                     -2.04007 -0.001272 -0.447305    15  126   1 
SimCBEOSB_2R                                                     -2.04007 0.047439 -0.446884    15  126   1 
SimCBEOSB_1R                                                     -2.04007 0.096137 -0.448174    15  126   1 
SimHookDown                                                      -1.67808 -0.997282 -1.336885    15  310   2 
AFCanopyLockToggle                                               -1.32731 -1.157259 -0.718264    15  322   1 
SimRWRHandoff                                                    -2.03722 -0.698122 -0.701186    15  318   2 
SimRWRHandoff                                                    -2.03722 -0.698122 -0.701186    15  318   1 
SimRWRSetPriority                                                -2.04267 -0.595768 -0.700860    15  318   1 
SimRWRSetNaval                                                   -2.02605 -0.698039 -0.768323    15  318   2 
SimRWRSetUnknowns                                                -2.02605 -0.698039 -0.768323    15  318   1 
SimRWRBrightnessDown                                             -2.03306 -0.866207 -0.768709    15  116   2 w
SimRWRBrightnessUp                                               -2.03306 -0.866207 -0.768709    15  116   1 w
SimRWRSysTest                                                    -2.02951 -0.649492 -0.767561    15  318   1 
SimRWRLaunch                                                     -2.04360 -0.748637 -0.702472    15  318   1 
SimSymWheelDn                                                    -2.00621 0.442622 -0.726797    15  116   2 w
SimSymWheelUp                                                    -2.00621 0.442622 -0.726797    15  116   1 w
SimRetDn                                                         -2.02956 -0.444486 -0.603029    15  116   2 w
SimRetUp                                                         -2.02956 -0.444486 -0.603029    15  116   1 w
SimHSIModeDec                                                    -1.88917 -0.414437 -1.733671    15  125   2 w
SimHSIModeInc                                                    -1.88917 -0.414437 -1.733671    15  125   1 w
SimHsiHeadingDec                                                 -1.89043 0.153073 -1.732516    15  116   2 w
SimHsiHeadingInc                                                 -1.89043 0.153073 -1.732516    15  116   1 w
SimHsiCourseDec                                                  -1.89051 -0.161459 -1.737676    15  116   2 w
SimHsiCourseInc                                                  -1.89051 -0.161459 -1.737676    15  116   1 w
SimMasterArmDown                                                 -2.03851 0.528432 -1.290560    15  311   2 
SimMasterArmUp                                                   -2.03851 0.528432 -1.290560    15  311   1 
AFAlternateGearReset                                             -1.54386 0.944116 -1.290056    15  118   2 
AFGearDown                                                       -1.54386 0.944116 -1.290056    15  118   1 
SimEWSRWROff                                                     0.27773 1.732695 -1.884735    15  115   2 
SimEWSRWROn                                                      0.27773 1.732695 -1.884735    15  115   1 
SimEWSJammerOff                                                  0.17922 1.721815 -1.877489    15  115   2 
SimEWSJammerOn                                                   0.17922 1.721815 -1.877489    15  115   1 
SimEWSMwsOff                                                     -0.06284 1.628243 -1.935476    15  115   2 
SimEWSMwsOn                                                      -0.06284 1.628243 -1.935476    15  115   1 
SimEWSO1Off                                                      0.17788 1.789928 -1.863690    15  115   2 
SimEWSO1On                                                       0.17788 1.789928 -1.863690    15  115   1 
SimEWSO2Off                                                      0.27889 1.783719 -1.854748    15  115   2 
SimEWSO2On                                                       0.27889 1.783719 -1.854748    15  115   1 
SimEWSChaffOff                                                   0.28602 1.623170 -1.898099    15  115   2 
SimEWSChaffOn                                                    0.28602 1.623170 -1.898099    15  115   1 
SimEWSFlareOff                                                   0.18248 1.617399 -1.898511    15  115   2 
SimEWSFlareOn                                                    0.18248 1.617399 -1.898511    15  115   1 
SimEWSPGMInc                                                     0.01798 1.783056 -1.899064    15  125   1 w
SimEWSPGMDec                                                     0.01798 1.783056 -1.899064    15  125   2 w
SimRwrPower                                                      -2.02264 -0.796754 -0.767664    15  318   1 
SimRWRSetGroundPriority                                          -2.04145 -0.801646 -0.702412    15  318   1 
SimRWRSetSearch                                                  -2.04267 -0.647604 -0.701560    15  318   1 
SimThrottleIdleDetent                                            -0.51839 1.247742 -1.797749    15  314   1 
SimDecRadioChannel                                               -1.03645 -1.083202 -1.960912    15  125   2 w
SimCycleRadioChannel                                             -1.03645 -1.083202 -1.960912    15  125   1 w
SimBupUhfFuncDec                                                 -1.27505 -1.197344 -1.918218    15  125   2 w
SimBupUhfFuncInc                                                 -1.27505 -1.197344 -1.918218    15  125   1 w
SimBupUhfModeDec                                                 -1.17202 -1.167914 -1.942486    15  125   2 w
SimBupUhfModeInc                                                 -1.17202 -1.167914 -1.942486    15  125   1 w
SimStepMissileVolumeDown                                         0.31190 1.176741 -2.000323    15  116   2 w
SimStepMissileVolumeUp                                           0.31190 1.176741 -2.000323    15  116   1 w
SimAud1Com1Gd                                                    -1.28170 -1.324866 -1.916436    15  125   1 w
SimAud1Com1Sql                                                   -1.28170 -1.324866 -1.916436    15  125   2 w
SimAud1Com2Gd                                                    -1.27334 -1.384699 -1.892070    15  125   1 w
SimAud1Com2Sql                                                   -1.27334 -1.384699 -1.892070    15  125   2 w
SimStepIntercomVolumeDown                                        -0.05679 1.414508 -1.980006    15  116   2 w
SimStepIntercomVolumeUp                                          -0.05679 1.414508 -1.980006    15  116   1 w
SimEpuDown                                                       -0.63013 1.698088 -1.857130    15  316   2 
SimEpuUp                                                         -0.63013 1.698088 -1.857130    15  316   1 
SimFuelDoorClose                                                 -0.40429 1.759053 -1.840319    15  115   2 
SimFuelDoorOpen                                                  -0.40429 1.759053 -1.840319    15  115   1 
SimMasterFuelOff                                                 -0.37771 1.575687 -1.884025    15  316   2 
SimMasterFuelOn                                                  -0.37771 1.575687 -1.884025    15  317   1 
SimTrimYawRight                                                  -0.55657 1.143608 -2.001603    15  116   2 
SimTrimYawRight                                                  -0.55657 1.143608 -2.001603    15  116   1 
SimTrimYawLeft                                                   -0.55657 1.195334 -2.001603    15  116   2 
SimTrimYawLeft                                                   -0.55657 1.195334 -2.001603    15  116   1 
SimLeftHptOff                                                    0.02236 -1.129314 -2.050846    15  311   2 
SimLeftHptOn                                                     0.02236 -1.129314 -2.050846    15  311   1 
SimRightHptOff                                                   0.02122 -1.451795 -1.991369    15  311   2 
SimRightHptOn                                                    0.02122 -1.451795 -1.991369    15  311   1 
SimICPAG                                                         -2.02375 -0.319347 -0.674314    15  311   1 
