# It's highly recommended to work on this file with Microsoft Excel!													
#													
# Explanation of Sound-table													
#													
# https://channel9.msdn.com/coding4fun/articles/Beginning-Game-Development-Part-VIII-DirectSound													
# https://msdn.microsoft.com/en-us/library/ee418662%28v=vs.85%29.aspx													
#													
# Note that if you want the volume of an aircraft engine to be audible at a certain maximum range, then you have to take care to make the sound fade out properly when they exceed that range. Otherwise the sound will simply snap in/out at that given range.													
# The volume is expressed in hundredths of a decibel and ranges from 0 (full volume) to -10,000 (completely silent).													
# The decibel scale is not linear, so you may reach effective silence well before the volume setting reaches true silence at -10,000.													
# There is also no way to increase the volume of the sound above the volume it was recorded at, so you have to make sure to record the sound with a high enough volume to at least match the desired maximum volume in the game.													
# Note that the db scale is logarithmic. Psycho acoustician tell us, that a 10 db increase of level give the impression of the doubling the loudness (volume). Your loudspeakers need 10 times more power. If you have 6 violins as source, then you have to ten times the violins, you need 60 violins to double the psycho-acoustic loudness (volume).													
# A doubling of the sensed volume (loudness) is equivalent to a level change approximately between 6 db and 10 db.													
# Also pay attention to the fact that a .wav / .ogg file can be reduced in volume via the aircraft .dat file (volume chart in respect to rpm), and then also reduced and modified with the sound-table. Pay close attention to these elements if you are not getting the desired results when modifying sounds via the f4sndtbl.													
# When modifying the f4sndtable.txt it is best to copy it into an excel sheet where you can apply all kinds of formatting (color, bold, etc etc) that don't cross into a .txt file when you copy and paste it back.													
#													
########################################													
#JP 16/11/2019 COMMENTS ON ATTENUATION #													
########################################													
# The sound system uses this table in two different ways.													
# (1) For sounds using the DSound3dBuffer : reference (1) in the comments.													
# (2) For sounds no using the DSound3Dbuffer : reference (2) in the comments.													
# Note: (2) are probably no more used in BMS (4.34 and after).													
#													
# Column 1: OGG File-name													
# The file name is relative to the Sound directory.													
#													
# Column 2: 'Start'													
# Unused (exists purely due to historical reasons).													
#													
# Column 3: 'End'													
# Unused (exists purely due to historical reasons).													
#													
# Column 4: 'MaxFeet'													
# (1) & (2) The maximum distance, in feet, that a sound can be heard, beyond this distance, the sound will not be played at all.													
# Note that it is not about attenuation nor any attenuation curve. It will just stop playing whatever its volume at that distance.													
#													
# Column 5: 'MinFeet'													
# This value shall not be 0. If 0, default value is MaxFeet/20													
# (1) The distance from the listener, in feet, at which the sound BEGINS to attenuate.													
# From this distance, the attenuation is logarithmic, for instance for a value of 300ft, the sound is maxed below and half at 600 ft ... etc ...													
# (2) The distance from the listener, in feet, at which the sound BEGINS to attenuate.													
# At this distance, the sound is played at Vol @ MinFeet.													
#													
# Column 6: 'Loudness Factor / Vol @ MinFeet'													
# (1) is Loudness Factor: This is the value that will be added globally on the sound whatever the distance. Negative for attenuation / Positive for augmentation.													
# (2) is Vol @ MinFeet: This is the maximum volume the sounds will be played. It is handled differently depending on whether or not the sound is an external type.													
# For NON external sounds this is the volume the sound will be played.													
# For external sounds (Flag E): This is the volume the sound will heard at and within MinFeet.													
#													
# Column 7: 'Vol @ MaxFeet'													
# (1) Unused (keep 0 as default value)													
# (2) This is volume at MaxFeet, it only effects external sounds.													
#													
# Column 8: 'Flags'													
#													
# Primary Flags: (The following 6 are mutually exclusive, only use 1 per sound).													
# E : External sound, when heard from in the cockpit, extra attenuation is applied.													
# S : External sound, if the player's aircraft (self) emitted that sound, it is not attenuated when heard from the inside cockpit.													
# O : External sound, is ONLY played with an exterior view.													
# X : External sound, is ONLY played while in the cockpit.													
# V : VMS (Betty), is always heard.													
# I : Internal sound, only heard while in cockpit.													
#													
# Secondary Flags:													
# L : Looped.													
# F : Frequency can be adjusted.													
# H : High priority.													
# R : Reverse Doppler effect, this might be useful for Burner sounds.													
# C : Cone effect controlled by column 14.													
#													
# Column 9: 'Unused'													
#													
# Column 10: 'Sound Group'													
# These correspond to the sound level sliders in F4's Sound Setup.													
#													
# -  0 - Engine External													
# -  1 - Sidewinder (IR Missile tones)													
# -  2 - RWR													
# -  3 - (Reserved - COM1)													
# -  4 - (Reserved - COM2)													
# -  5 - Sound Effects													
# -  6 - (Reserved - Music)													
# -  7 - (Reserved - UI)													
# -  8 - Cockpit													
# -  9 - (Reserved - Master)													
# - 10 - Engine Internal													
# - 11 - Intercom (Tones/Alarms/VMS/Betty)													
#													
# Column 11: 'Linked Sound ID'													
# This is the ID number of another sound. This allows F4 to automatically play multiple sounds. This is useful where the code doesn't explicitly call internal & external sounds for the same effect.													
# An example of this is the Vulcan cannon sounds. If you check the sound table, you'll see that the M61 Vulcan sound is already setup using this method.													
#													
# Column 12: 'Inside Cone'													
# The sound is heard normally when the listener (camera) is within the cone specified.													
# If for example you want the sound to be heard normally when facing the rear of an aircraft, then the inside cone could be between 190 and 170.													
# Then as the camera moves towards the left wing, he enters the Outside Cone which could be slightly wider. The sound is still audible but is fading out, until the camera is outside the Outside Cone, at which point the sound begins to fade out to the volume set for attenuation.													
#													
# Note:													
# Every 3D sound buffer has a sound cone, but by default a buffer behaves like an omni-directional sound source, because the outside volume is not attenuated, and the inside and outside cone angles are 360 degrees. Unless the application changes these values, the sound does not have any apparent orientation.													
# Designing sound cones properly can add dramatic effects to your application. For example, you could position a sound source in the center of a room, setting its orientation toward an open door in a hallway. Then set the angle of the inside cone so that it extends to the width of the doorway, make the outside cone a bit wider, and set the outside cone volume to inaudible.													
# A listener moving along the hallway will begin to hear the sound only when near the doorway, and the sound will be loudest as the listener passes in front of the open door.													
#													
# Column 13: 'Outside Cone'													
# Specifies the outside cone where the volume begins to attenuate to the specified value.													
#													
# Column 14: 'Attenuation'													
# The value which to decrease the volume of a sound transitioning from the Inside Cone to the Outside Cone at its maximum reciprocal value for the inside cone.													
# As the listener transitions from inside the cone, to outside, the attenuation is applied it's telling it that when you are outside of the cone.													
#													
#													
# Note: Only external sounds have 3D affects applied to them.													
#													
#													
# 0	'Start'	'End'	'MaxFeet'	'MinFeet'	'Loudness Factor / Vol @ MinFeet'	'Vol @ MaxFeet'	'Flags'	'Unused'	'Sound Group'	'Linked Sound ID'	'Inside Cone'	'Outside Cone'	'Attenuation'
Common\none.ogg	0	0	0	0	0	0	X	0	0	0			
# 1													
Common\biggun1.ogg	0	0	30300	30	1000	-10000	E	0	5	0			
# 2													
Common\biggun2.ogg	0	0	30300	30	1000	-10000	E	0	5	0			
# 3													
Common\bombdrop.ogg	0	0	1000	10	-1500	-10000	S	0	5	0			
# 4	Airflow sound flyby view												
Common\airflow.ogg	0	0	6000	10	3000	-10000	OLF	0	5	0			
# 5													
Common\eject.ogg	0	0	1000	200	0	-10000	O	0	0	0			
# 6													
Cockpit\aim9caged.ogg	0	0	99999	0	0	-10000	ILF	0	1	0			
# 7													
Cockpit\aim9uncaged.ogg	0	0	99999	0	0	-10000	ILF	0	1	0			
# 8													
Common\grndhit1.ogg	0	0	12000	100	0	-10000	E	0	5	0			
# 9													
Common\grndhit2.ogg	0	0	12000	100	0	-10000	E	0	5	0			
# 10	Internal Missile Launch												
Common\missile1.ogg	0	0	99999	0	1000	-10000	I	0	5	0			
# 11	Internal Missile Launch												
Common\missile2.ogg	0	0	99999	0	1000	-10000	I	0	5	0			
# 12	Internal Missile Launch												
Common\missile3.ogg	0	0	99999	0	1000	-10000	I	0	5	0			
# 13	Crash/hard landing on mud(?)												
Common\dirtdart.ogg	0	0	6000	0	10000	-10000	O	0	5	0			
# 14	Crash/hard landing on water(?)												
Common\h2odart.ogg	0	0	300	0	0	-10000	O	0	5	0			
# 15	Crash/hard landing on grass(?)												
Common\lawndart.ogg	0	0	6000	0	10000	-10000	O	0	5	0			
# 16	EMPTY FREE SLOT (old prop.ogg)												
Common\none.ogg	0	0	0	0	0	0	X	0	0	0			
# 17													
Common\tank.ogg	0	0	12000	100	0	-10000	EL	0	5	0			
# 18													
Common\truck1.ogg	0	0	12000	50	0	-10000	EL	0	5	0			
# 19													
Common\truck2.ogg	0	0	12000	50	0	-10000	EL	0	5	0			
# 20													
Common\ricco1.ogg	0	0	500	10	-1000	-10000	S	0	5	0			
# 21													
Common\ricco2.ogg	0	0	500	10	-1000	-10000	S	0	5	0			
# 22													
Common\ricco3.ogg	0	0	500	10	-1000	-10000	S	0	5	0			
# 23													
Common\ricco4.ogg	0	0	500	10	-1000	-10000	S	0	5	0			
# 24													
Common\ricco5.ogg	0	0	500	10	-1000	-10000	S	0	5	0			
# 25	Exterior												
Common\vulstartext.ogg	0	0	24000	50	500	-10000	E	0	5	51			
# 26	Exterior												
Common\vulloopext.ogg	0	0	24000	50	2000	-10000	EL	0	5	71			
# 27	Exterior												
Common\vulendext.ogg	0	0	24000	50	2000	-10000	E	0	5	72			
# 28													
Common\boomg1.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 29													
Common\boomg2.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 30													
Common\boomg3.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 31													
Common\boomg4.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 32													
Common\boomg5.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 33	Environment in cockpit when canopy is open												
Common\windinckpt.ogg	0	0	99999	0	-500	-10000	XL	0	5	0			
# 34	Engine Pitch Sound - Varies with throttle												
Engines\Fighter\F-16\f16sndint1.ogg	0	0	99999	0	0	-10000	ILFH	0	10	0			
# 35	External engine nozzle exhaust airflow - Rear facing heard at close distance												
Engines\Fighter\F-16\f16sndext1.ogg	0	0	12000	10	0	-10000	ELFHC	0	0	0	180	100	-1500
# 36	(old engines\fighter\F-16\Int.wav)												
Common\buffeting.ogg	0	0	99999	0	-200	-10000	ILH	0	5	0			
# 37													
Twi\mig21.ogg	0	0	99999	0	0	-10000	IL	0	2	0			
# 38	(old geardn.wav)												
Common\gunimpact.ogg	0	0	6000	10	3000	-10000	O	0	5	0			
# 39	External high RPM & afterburner roar - Heard mostly from the rear at close and medium distance												
Engines\Fighter\F-16\f16sndabext.ogg	0	0	180000	200	0	-10000	ELFHCR	0	0	0	135	80	-2000
# 40	Internal engine rush sound												
Engines\Fighter\F-16\f16sndabint1.ogg	0	0	99999	0	-500	-10000	ILH	0	10	0			
# 41													
Twi\mig23.ogg	0	0	99999	0	0	-10000	IL	0	2	0			
# 42													
Common\touchdown.ogg	0	0	6000	10	3000	-10000	E	0	5	0			
# 43													
Common\booma1.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 44													
Common\booma2.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 45													
Common\booma3.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 46													
Common\booma4.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 47													
Common\booma5.ogg	0	0	30300	100	1500	-10000	E	0	5	0			
# 48 ***	(Unused?)												
Common\flaps.ogg	0	0	1200	0	0	-10000	S	0	5	0			
# 49													
Common\mcgun.ogg	0	0	30300	20	1000	-10000	E	0	5	0			
# 50	VMS (Betty)												
Cockpit\jammer.ogg	0	0	99999	0	-950	-10000	V	0	11	0			
# 51													
Common\vulstart.ogg	0	0	99999	0	0	-10000	I	0	5	0			
# 52													
Twi\mig25.ogg	0	0	99999	0	0	-10000	IL	0	2	0			
# 53													
Twi\mig31.ogg	0	0	99999	0	0	-10000	IL	0	2	0			
# 54													
Common\impacta1.ogg	0	0	30300	50	2000	-10000	E	0	5	0			
# 55													
Common\impacta2.ogg	0	0	30300	50	2000	-10000	E	0	5	0			
# 56													
Common\impacta3.ogg	0	0	30300	50	2000	-10000	E	0	5	0			
# 57													
Common\impacta4.ogg	0	0	30300	50	2000	-10000	E	0	5	0			
# 58													
Common\impacta5.ogg	0	0	30300	50	2000	-10000	E	0	5	0			
# 59	Landing gear sequence Internal												
Common\geardownstart_nlg_int.ogg	0	0	99999	0	-1300	-10000	I	0	5	0			
# 60	Landing gear sequence Internal (old twslnch.wav)												
Common\geardownend_nlg_int.ogg	0	0	99999	0	-600	-10000	I	0	5	0			
# 61	Landing gear sequence Internal (old twslncir.wav)												
Common\geardownend_lmlg_int.ogg	0	0	99999	0	-900	-10000	I	0	5	0			
